tempo;posizione;velocità;acc
0,0333;0,5265736;-0,001831164;-0,012219983
0,0666;0,5265736;-0,002975642;0,015084042
0,0999;0,5262992;-0,00206006;0,044793876
0,1332;0,5262992;0,001831164;0,029404335
0,1665;0,5265736;0,001831164;-0,035896201
0,1998;0,5265736;-0,002288956;-0,058235858
0,2331;0,5262992;-0,003662329;-0,036087138
0,2664;0,5262992;-0,00412012;-0,024821841
0,2997;0,5260248;-0,004577911;-0,03112277
0,333;0,5260248;-0,005722389;-0,047543373
0,3663;0,5257504;-0,009384718;-0,021194034
0,3996;0,5252016;-0,008011345;0,03112277
0,4329;0,5252016;-0,005722389;0,046970561
0,4662;0,5249272;-0,005493493;0,073701774
0,4995;0,5246528;-0,000915582;0,10234236
0,5328;0,5249272;0,002517851;0,108834226
0,5661;0,5249272;0,00412012;0,173752888
0,5994;0,5249272;0,013047047;0,265020888
0,6327;0,5257504;0,023805138;0,306263332
0,666;0,5265736;0,033876543;0,331085173
0,6993;0,5279456;0,045550217;0,357434512
0,7326;0,529592;0,057910577;0,375000738
0,7659;0,5317872;0,070728729;0,383401976
0,7992;0,5342568;0,084462462;0,367363248
0,8325;0,5375496;0,094991658;0,359534821
0,8658;0,540568;0,106207541;0,404023198
0,8991;0,5444096;0,122688021;0,422735047
0,9324;0,5488;0,137337337;0,363544503
0,9657;0,5537392;0,147179847;0,296143658
0,999;0,5586784;0,154504505;0,298816779
1,0323;0,563892;0,165491491;0,352088269
1,0656;0,5696544;0,178309643;0,397149457
1,0989;0,5756912;0,193187855;0,404405072
1,1322;0,5825512;0,207150484;0,359916696
1,1655;0,5896856;0,216077411;0,341586721
1,1988;0,59682;0,22797998;0,370800118
1,2321;0,6047776;0,241942609;0,372900428
1,2654;0,6130096;0,254074074;0,347505775
1,2987;0,6217904;0,264145479;0,346360152
1,332;0,6305712;0,275132466;0,392185089
1,3653;0,6399008;0,291384051;0,405168821
1,3986;0,6500536;0,30534668;0,337004227
1,4319;0,6604808;0,313129129;0,290224603
1,4652;0,670908;0,320911578;0,341968595
1,4985;0,6816096;0,335103103;0,415479432
1,5318;0,6931344;0,351812479;0,404214135
1,5651;0,705208;0,36417284;0,334903917
1,5984;0,717556;0,372184184;0,31256426
1,6317;0,729904;0,382255589;0,359916696
1,665;0,7428008;0,397591592;0,375191675
1,6983;0,7565208;0,409723056;0,329748612
1,7316;0,7702408;0,417963297;0,324593306
1,7649;0,7842352;0,429408075;0,369845432
1,7982;0,7987784;0,442684017;0,410515064
