tempo;posizione;velocità;acc
0,0333;0,5290432;-0,006409076;0,05701386
0,0666;0,5287688;-0,004234568;0,048383496
0,0999;0,5287688;-0,003296096;0,044736595
0,1332;0,5284944;-0,001144478;0,045462157
0,1665;0,5287688;-0,000457791;0,062188259
0,1998;0,5284944;0,000228896;0,156835848
0,2331;0,5284944;0,009155822;0,275140562
0,2664;0,5290432;0,020600601;0,338722662
0,2997;0,5298664;0,032960961;0,35896201
0,333;0,5312384;0,045092426;0,35476139
0,3663;0,5328848;0,056766099;0,347314838
0,3996;0,53508;0,067295295;0,362780754
0,4329;0,5372752;0,080113447;0,394094461
0,4662;0,5402936;0,095678345;0,371754805
0,4995;0,5438608;0,105978645;0,324211432
0,5328;0,547428;0,114447781;0,347505775
0,5661;0,5512696;0,128181515;0,395240085
0,5994;0,5559344;0,142830831;0,392376026
0,6327;0,5608736;0,155420087;0,357625449
0,666;0,5663616;0,165720387;0,343305156
0,6993;0,5718496;0,177394061;0,354379516
0,7326;0,5781608;0,189525526;0,363353566
0,7659;0,584472;0,201885886;0,363353566
0,7992;0,5916064;0,214017351;0,354188579
0,8325;0,5987408;0,225691024;0,34235047
0,8658;0,6066984;0,235991325;0,353615767
0,8991;0,6143816;0,248351685;0,387220721
0,9324;0,6231624;0,262772105;0,39352165
0,9657;0,6319432;0,275590257;0,37137293
0,999;0,6415472;0,287492826;0,349606085
1,0323;0,6511512;0,297793126;0,357816386
1,0656;0,661304;0,310382382;0,387029784
1,0989;0,6717312;0,324802803;0,38244729
1,1322;0,6829816;0,338078745;0,323829558
1,1655;0,6945064;0,344716717;0,308363641
1,1988;0,7057568;0,355932599;0,364117315
1,2321;0,7181048;0,370124124;0,391803215
1,2654;0,7304528;0,383400067;0,379583231
1,2987;0,743624;0,396676009;0,331467047
1,332;0,7570696;0,404687354;0,307790829
1,3653;0,7705152;0,414529863;0,354379516
1,3986;0,7845096;0,428492492;0,398867892
1,4319;0,7990528;0,443141808;0,389321031
1,4652;0,8141448;0,454586587;0,365453876
1,4985;0,8292368;0,467633634;0,337767976
1,5318;0,8454264;0,477247247;0,312373323
1,5651;0,8610672;0,485945279;0,350751708
1,5984;0,8775312;0,501052386;0,377101047
1,6317;0,894544;0,513412746;0,347123901
1,665;0,9118312;0,523484151;0,333758294
1,6983;0,9293928;0,533784451;0,362207943
1,7316;0,9472288;0,547975976;0,358007323
1,7649;0,965888;0,561938605;0,151795105
1,7982;0,9848216;0,569263263;-0,579303583
1,8315;1,0040296;0,551867201;-2,322942451
1,8648;1,0232376;0,459622289;-5,238935966
1,8981;1,0405248;0,195019019;-7,646272677
1,9314;1,0391528;-0,149239907;-7,070787838
1,9647;1,0254328;-0,351354688;-4,149257143
1,998;1,011164;-0,407662996;-1,47861798
2,0313;0,9971696;-0,405374041;-0,094513933
2,0646;0,9839984;-0,387520187;0,3112277
2,0979;0,9716504;-0,3765332;0,325166118
2,1312;0,959028;-0,36829296;0,342923281
2,1645;0,9469544;-0,355932599;0,408223817
2,1978;0,9351552;-0,339223223;0,427699416
2,2311;0,9244536;-0,324573907;0,371945742
2,2644;0,913752;-0,31564698;0,345978277
2,2977;0,9033248;-0,303973307;0,386838846
2,331;0,8934464;-0,290468468;0,446029391
2,3643;0,8838424;-0,27284351;0,46264093
2,3976;0,875336;-0,257278612;0,411087876
2,4309;0,8668296;-0,245147147;0,354379516
2,4642;0,8591464;-0,23622022;0,36239888
2,4975;0,8509144;-0,223173173;0,426935667
2,5308;0,8440544;-0,204174842;0,407078194
2,5641;0,8377432;-0,19547681;0,371754805
2,5974;0,8308832;-0,182887554;0,418152554
2,6307;0,8253952;-0,166407074;0,432854721
2,664;0,8199072;-0,152444444;0,407460068
2,6973;0,8152424;-0,138710711;0,368508871
2,7306;0,810852;-0,129554888;0,375191675
2,7639;0,8064616;-0,116278946;0,446984077
2,7972;0,8028944;-0,09750951;0,458249374
2,8305;0,8001504;-0,083317985;0,402304763
2,8638;0,7974064;-0,07118652;0,357243574
2,8971;0,7954856;-0,061115115;0,358580135
2,9304;0,7932904;-0,049670337;0,424453483
2,9637;0,7919184;-0,031358692;0,45156657
2,997;0,7913696;-0,017167167;0,411087876
3,0303;0,7908208;-0,004349016;0,372900428
3,0636;0,7910952;0,007324658;0,345978277
3,0969;0,7913696;0,017624958;0,353233892
3,1302;0,7921928;0,029985319;0,383020102
3,1635;0,7932904;0,044176844;0,387220721
3,1968;0,7952112;0,056766099;0,363926378
3,2301;0,797132;0,067524191;0,359534821
3,2634;0,7996016;0,080800133;0,354570453
3,2967;0,80262;0,091329329;0,348651399
3,33;0,8056384;0,103231899;0,364881064
3,3633;0,80948;0,115592259;0,382256353
3,3966;0,8133216;0,128639306;0,397531332
3,4299;0,8179864;0,143059726;0,381874478
3,4632;0,8229256;0,155191191;0,337004227
3,4965;0,8284136;0,164804805;0,313328009
3,5298;0,8339016;0,174418418;0,335667666
3,5631;0,8399384;0,186549883;0,375191675
3,5964;0,8462496;0,200741408;0,379392294
3,6297;0,853384;0,213101768;0,347123901
3,663;0,8605184;0,223173173;0,332039859
3,6963;0,8682016;0,234389056;0,343114219
3,7296;0,8761592;0,245147147;0,378819482
3,7629;0,8843912;0,259796463;0,403259449
3,7962;0,8934464;0,274216884;0,367363248
3,8295;0,902776;0,285432766;0,306454269
3,8628;0,9126544;0,291841842;0,317528629
3,8961;0,921984;0,303973307;0,393712587
3,9294;0,9326856;0,321369369;0,388748219
3,9627;0,9436616;0,332127461;0,328221114
3,996;0,954912;0,340367701;0,336049541
4,0293;0,9661624;0,352499166;0,389511968
4,0626;0,978236;0,368750751;0,351133583
4,0959;0,9908584;0,381340007;0,063582101
4,1292;1,0037552;0,385231231;-0,744655232
4,1625;1,0169264;0,358908242;-2,38595174
4,1958;1,0300976;0,249038372;-4,499626977
4,2291;1,0377808;0,020829496;-5,352925498
4,2624;1,0306464;-0,184260928;-3,932161502
4,2957;1,0210424;-0,261627628;-1,74344793
4,329;1,0114384;-0,270554555;-0,288506168
4,3623;1,0026576;-0,254074074;0,293279599
4,3956;0,9947;-0,239653654;0,390657591
4,4289;0,9867424;-0,226835502;0,373855114
4,4622;0,979608;-0,215161828;0,355334202
4,4955;0,9724736;-0,204632633;0,383020102
4,5288;0,965888;-0,191127794;0,445647516
4,5621;0,9595768;-0,173502836;0,463786554
4,5954;0,9543632;-0,15679346;0,389702905
4,6287;0,949424;-0,147866533;0,323065809
4,662;0,9444848;-0,138481815;0,344259842
4,6953;0,9400944;-0,126121455;0,401731951
4,7286;0,9359784;-0,110785452;0,436291591
4,7619;0,9326856;-0,094533867;0,406314445
4,7952;0,9299416;-0,084462462;0,390848528
4,8285;0,9269232;-0,07118652;0,438964713
4,8618;0,9250024;-0,05310377;0,43571878
4,8951;0,9236304;-0,04074341;0,393139775
4,9284;0,9222584;-0,028154154;0,375573549
4,9617;0,9217096;-0,015107107;0,350178897
4,995;0,9214352;-0,005951285;0,357625449
5,0283;0,9211608;0,006866867;0,407269131
5,0616;0,9217096;0,024034034;0,387411658
5,0949;0,9230816;0,033647648;0,340822972
5,1282;0,9239048;0,043947948;0,36029857
5,1615;0,9258256;0,058597264;0,360871382
5,1948;0,9280208;0,068210878;0,35896201
5,2281;0,930216;0,081715716;0,375764487
5,2614;0,9335088;0,094076076;0,371181993
5,2947;0,9365272;0,105520854;0,386266035
5,328;0,9403688;0,120856857;0,371563867
5,3613;0,9447592;0,131386053;0,331467047
5,3946;0,9491496;0,141228562;0,337195164
5,4279;0,9540888;0,152902236;0,370609181
5,4612;0,9593024;0,165949283;0,401541014
5,4945;0,9650648;0,180827494;0,393903524
5,5278;0,971376;0,194332332;0,332039859
5,5611;0,978236;0,202114781;0,296525532
5,5944;0,9848216;0,210355022;0,358007323
5,6277;0,991956;0,226148815;0,40593257
5,661;0,9999136;0,241255923;0,31256426
5,6943;1,0081456;0,252929596;-0,05880867
5,7276;1,0169264;0,250411745;-0,913825626
5,7609;1,0254328;0,21561962;-2,370294886
5,7942;1,034488;0,089040374;-3,574154179
5,8275;1,0328416;-0,076908909;-3,174522537
5,8608;1,026256;-0,158395729;-1,65428024
5,8941;1,0202192;-0,172587254;-0,403832261
5,9274;1,0144568;-0,163660327;0,207357842
5,9607;1,0092432;-0,148324324;0,392376026
5,994;1,0045784;-0,133446113;0,387793533
6,0273;1,0004624;-0,121543544;0,339486411
6,0606;0,9966208;-0,113074408;0,349606085
6,0939;0,9927792;-0,100485152;0,417770679
6,1272;0,9897608;-0,08354688;0,441446897
6,1605;0,9872912;-0,068439773;0,395812897
6,1938;0,9853704;-0,057681682;0,361062319
6,2271;0,9834496;-0,04692359;0,389511968
6,2604;0,9820776;-0,032045379;0,424835357
6,2937;0,9812544;-0,015793794;0,390275717
6,327;0,9812544;-0,005264598;0,338531725
6,3603;0,98098;0,003433433;0,371754805
6,3936;0,9812544;0,018082749;0,438582838
6,4269;0,9820776;0,035478812;0,427126604
6,4602;0,983724;0,049670337;0,331848922
6,4935;0,9856448;0,056766099;0,262920578
6,5268;0,9875656;0,062488488;0,320774562
6,5601;0,9894864;0,076451118;0,426171918
6,5934;0,9925048;0,094991658;0,423498796
6,6267;0,996072;0,106894228;0,352279206
6,66;0,9996392;0,117652319;0,299198654
6,6933;1,0040296;0,124976977;0,301871775
6,7266;1,0078712;0,135277277;0,36029857
6,7599;1,0128104;0,151528862;0,303017398
6,7932;1,018024;0,164347014;-0,085539883
6,8265;1,0240608;0,159769102;-0,906188137
6,8598;1,0298232;0,114905572;-1,950996709
6,8931;1,0339392;0,009384718;-2,338981179
6,9264;1,0298232;-0,079655656;-1,592225637
6,9597;1,026256;-0,101858525;-0,59266919
6,993;1,0226888;-0,10368969;0,028258711
7,0263;1,0191216;-0,092016016;0,350178897
7,0596;1,0163776;-0,075077744;0,449275324
7,0929;1,0141824;-0,059055055;0,433809407
7,1262;1,012536;-0,045779112;0,392948838
7,1595;1,011164;-0,033647648;0,373664177
7,1928;1,0103408;-0,022431765;0,394667273
7,2261;1,0095176;-0,007553554;0,418152554
7,2594;1,009792;0,00824024;0,371181993
7,2927;1,0103408;0,017167167;0,324402369
7,326;1,0108896;0,027009676;0,34922421
7,3593;1,0119872;0,040514515;0,37691011
7,3926;1,0136336;0,053332666;0,375000738
7,4259;1,0155544;0,065693026;0,362589817
7,4592;1,018024;0,077595596;0,33471298
7,4925;1,020768;0,088353687;0,256046838
7,5258;1,0237864;0,099798465;-0,025967465
7,5591;1,027628;0,098425092;-0,640021625
7,5924;1,0314696;0,062259593;-1,330068808
7,6257;1,033116;-0,010071405;-1,419427435
7,659;1,0298232;-0,056537204;-0,791625793
7,6923;1,0279024;-0,060657324;-0,149885733
7,7256;1,0257072;-0,055392726;0,197238168
7,7589;1,0240608;-0,042345679;0,346169214
7,7922;1,0229632;-0,030900901;0,410324127
7,8255;1,0218656;-0,015336003;0,46264093
7,8588;1,0218656;0,00206006;0,449275324
7,8921;1,02214;0,015793794;0,401541014
7,9254;1,0229632;0,028154154;0,365453876
7,9587;1,0240608;0,038912246;0,350178897
7,992;1,0254328;0,052874875;0,261202143
8,0253;1,027628;0,062259593;-0,028449649
8,0586;1,0298232;0,059970637;-0,545698629
8,0919;1,0328416;0,023347347;-0,943420898
8,1252;1,031744;-0,023118452;-0,754393032
8,1585;1,0300976;-0,037081081;-0,240389984
8,1918;1,0287256;-0,032274274;0,128309825
8,2251;1,0279024;-0,021516183;0,287169608
8,2584;1,0273536;-0,011215883;0,349797022
8,2917;1,0270792;0,001373373;0,395812897
8,325;1,0273536;0,016251585;0,393139775
8,3583;1,0281768;0,030672005;0,27590431
8,3916;1,0295488;0,038454454;0,022339657
8,4249;1,0309208;0,037081081;-0,350560771
8,4582;1,0328416;0,012589256;-0,611571977
8,4915;1,0320184;-0,018540541;-0,438582838
8,5248;1,0306464;-0,023576243;-0,040287757
8,5581;1,0300976;-0,015793794;0,236189365
8,5914;1,0295488;-0,003204538;0,357052637
8,6247;1,0298232;0,011444778;0,325929867
8,658;1,030372;0,022431765;0,149694795
8,6913;1,0314696;0,02632299;-0,15351354
8,7246;1,0328416;0,010071405;-0,368699809
8,7579;1,0322928;-0,010071405;-0,243254043
8,7912;1,0314696;-0,011444778;0,048307121
8,8245;1,0311952;-0,001373373;0,198192854
8,8578;1,0314696;0,007553554;0,158859783
8,8911;1,031744;0,013504838;-0,017566226
8,9244;1,0328416;0,005951285;-0,173371013
8,9577;1,0322928;-0,005722389;-0,109407038
