tempo;posizione;velocità;acc
0,0333;0,5293176;0,00412012;-0,116128029
0,0666;0,529592;-0,000343343;-0,090370595
0,0999;0,5293176;-0,003021421;-0,05378702
0,1332;0,5293176;-0,003891225;-0,016745196
0,1665;0,5290432;-0,003891225;0,016057822
0,1998;0,5290432;-0,002975642;0,046626874
0,2331;0,5287688;-0,000228896;0,057853983
0,2664;0,5290432;0,002288956;0,028640586
0,2997;0,5290432;0,001373373;0,002673121
0,333;0,5290432;0,002288956;-0,015274979
0,3663;0,5293176;0,000228896;-0,024630904
0,3996;0,5290432;-0,001144478;0,008783113
0,4329;0,5290432;0,00206006;0,008783113
0,4662;0,5293176;0,001602269;-0,037614636
0,4995;0,5293176;-0,002517851;-0,023867155
0,5328;0,5290432;-0,003662329;0,090122377
0,5661;0,5287688;0,003891225;0,201056913
0,5994;0,5293176;0,012131465;0,250700595
0,6327;0,529592;0,020829496;0,28907898
0,666;0,5306896;0,03044311;0,346169214
0,6993;0,5315128;0,043261261;0,414524746
0,7326;0,5334336;0,059970637;0,426171918
0,7659;0,5356288;0,073475475;0,382638227
0,7992;0,5383728;0,085378045;0,338531725
0,8325;0,5413912;0,094991658;0,326120804
0,8658;0,544684;0,105291959;0,363544503
0,8991;0,5482512;0,119483483;0,392757901
0,9324;0,5526416;0,133675008;0,364690127
0,9657;0,5573064;0,143975309;0,331085173
0,999;0,5622456;0,153817818;0,347314838
1,0323;0,5674592;0,166178178;0,387220721
1,0656;0,5732216;0,180827494;0,394094461
1,0989;0,5795328;0,194561228;0,347123901
1,1322;0,5863928;0,203030364;0,322874871
1,1655;0,5929784;0,213330664;0,365453876
1,1988;0,6003872;0,228666667;0,378628545
1,2321;0,6083448;0,240798131;0,340441097
1,2654;0,6165768;0,249496163;0,346551089
1,2987;0,6248088;0,261856523;0,40039539
1,332;0,633864;0,278108108;0,404786947
1,3653;0,643468;0,29092626;0,35342483
1,3986;0,6533464;0,300768769;0,324020495
1,4319;0,6634992;0,310611278;0,344450779
1,4652;0,6739264;0,322971638;0,38798447
1,4985;0,6849024;0,338536537;0,380156043
1,5318;0,6967016;0,348379046;0,364881064
1,5651;0,707952;0,361883884;0,370609181
1,5984;0,7208488;0,374015349;0,353233892
1,6317;0,7329224;0,38477344;0,351133583
1,665;0,746368;0,397820487;0,338531725
1,6983;0,7595392;0,407662996;0,324975181
1,7316;0,7735336;0,417734401;0,357434512
1,7649;0,7872536;0,430552553;0,409178503
1,7982;0,8020712;0,447033033;0,403259449
1,8315;0,8171632;0,459622289;0,336622353
1,8648;0,832804;0,468778111;0,289460854
1,8981;0,8484448;0,476331665;0,311800511
1,9314;0,86436;0,488234234;0,369654495
1,9647;0,880824;0,503570237;0,36373544
1,998;0,8981112;0,513870537;0,322874871
2,0313;0,915124;0,522339673;0,348269524
2,0646;0,9326856;0,536073407;0,395049148
2,0979;0,950796;0,550951618;0,349987959
2,1312;0,9694552;0,56376977;0,065109599
2,1645;0,9883888;0,56994995;-0,862463509
2,1978;1,0078712;0,541338005;-2,928977248
2,2311;1,0270792;0,413614281;-5,927837525
2,2644;1,041348;0,11605005;-7,798449656
2,2977;1,03586;-0,210126126;-6,5588851
2,331;1,0215912;-0,374702035;-3,550859835
2,3643;1,0073224;-0,417047714;-1,162044037
2,3976;0,9930536;-0,412698699;0,015656854
2,4309;0,979608;-0,394615949;0,357052637
2,4642;0,9669856;-0,381568902;0,358389198
2,4975;0,9543632;-0,372641975;0,361253256
2,5308;0,9420152;-0,360052719;0,421589424
2,5641;0,930216;-0,343114448;0,4481297
2,5974;0,91924;-0,327778445;0,41146975
2,6307;0,9085384;-0,316333667;0,384929474
2,664;0,8981112;-0,303744411;0,397913206
2,6973;0,8882328;-0,289323991;0,401922888
2,7306;0,8789032;-0,276276944;0,389702905
2,7639;0,869848;-0,263687688;0,385311348
2,7972;0,8613416;-0,251098432;0,394667273
2,8305;0,8531096;-0,237822489;0,412042562
2,8638;0,8454264;-0,222944278;0,408796629
2,8971;0,838292;-0,208981648;0,368508871
2,9304;0,8317064;-0,199825826;0,367745123
2,9637;0,8248464;-0,187007674;0,430563474
2,997;0,819084;-0,169840507;0,458058437
3,0303;0,813596;-0,154046713;0,417388805
3,0636;0,8089312;-0,141457457;0,358007323
3,0969;0,8042664;-0,131614948;0,340632035
3,1302;0,8001504;-0,121085752;0,388557282
3,1635;0,7960344;-0,105978645;0,441446897
3,1968;0,793016;-0,089040374;0,425408169
3,2301;0,790272;-0,076222222;0,373091365
3,2634;0,7880768;-0,066837504;0,386075097
3,2967;0,7856072;-0,052188188;0,441828771
3,33;0,7845096;-0,035021021;0,43571878
3,3633;0,783412;-0,021516183;0,384356662
3,3966;0,7831376;-0,009842509;0,344450779
3,4299;0,7828632;-0,000915582;0,366790436
3,4632;0,7828632;0,013504838;0,416815993
3,4965;0,7836864;0,029756423;0,392376026
3,5298;0,7850584;0,04074341;0,33681329
3,5631;0,7864304;0,050357024;0,3291758
3,5964;0,7883512;0,061572906;0,359152947
3,6297;0,7905464;0,07324658;0,414333809
3,663;0,793016;0,090184852;0,435145968
3,6963;0,7965832;0,105978645;0,360107633
3,7296;0,8004248;0,113074408;0,311991449
3,7629;0,803992;0,122916917;0,35896201
3,7962;0,8083824;0,13825292;0,377482922
3,8295;0,8133216;0,15061328;0,335476729
3,8628;0,8185352;0,159997998;0,310273014
3,8961;0,8240232;0,168467134;0,354570453
3,9294;0,8295112;0,182887554;0,417388805
3,9627;0,8360968;0,200283617;0,380156043
3,996;0,8432312;0,208294962;0,335476729
4,0293;0,8498168;0,21973974;0,36029857
4,0626;0,8577744;0,233244578;0,365644813
4,0959;0,8654576;0,24446046;0,362589817
4,1292;0,873964;0,257736403;0,348842336
4,1625;0,8827448;0,267807808;0,336431415
4,1958;0,8918;0,278337004;0,369845432
4,2291;0,9011296;0,292528529;0,398867892
4,2624;0,9112824;0,306948949;0,373855114
4,2957;0,9217096;0,31770704;0,33681329
4,329;0,9324112;0,328694027;0,32020175
4,3623;0,9436616;0,338307641;0,328602988
4,3956;0,954912;0,349065732;0,374236989
4,4289;0,9667112;0,364630631;0,375764487
4,4622;0,9793336;0,376762095;0,273040252
4,4955;0,991956;0,385231231;-0,024439967
4,5288;1,0048528;0,389122456;-0,903324078
4,5621;1,0182984;0,360052719;-2,783483072
4,5954;1,0322928;0,222257591;-4,983271003
4,6287;1,037232;-0,028154154;-5,447057557
4,662;1,0281768;-0,218137471;-3,617305995
4,6953;1,018024;-0,273072406;-1,457805821
4,7286;1,0089688;-0,277879213;-0,261965892
4,7619;0,9996392;-0,271699032;0,24000811
4,7952;0,990584;-0,257049716;0,441065022
4,8285;0,982352;-0,237822489;0,462449993
4,8618;0,9749432;-0,223630964;0,396003834
4,8951;0,9675344;-0,211957291;0,341013909
4,9284;0,9609488;-0,203488155;0,358580135
4,9617;0,9538144;-0,190441108;0,440874085
4,995;0,948052;-0,171671672;0,45920406
5,0283;0,942564;-0,157480147;0,412806311
5,0616;0,9376248;-0,144890891;0,38034698
5,0949;0,93296;-0,133903904;0,394285399
5,1282;0,9285696;-0,119254588;0,428463165
5,1615;0,9250024;-0,103918585;0,422162236
5,1948;0,9217096;-0,090413747;0,391612277
5,2281;0,9189656;-0,077137804;0,347505775
5,2614;0,9167704;-0,068668669;0,348078587
5,2947;0,9143008;-0,057223891;0,429417851
5,328;0,9126544;-0,038454454;0,46684155
5,3613;0,9118312;-0,021745078;0,394285399
5,3946;0,9115568;-0,013733734;0,355143265
5,4279;0,9107336;-0,001602269;0,402304763
5,4612;0,9112824;0,014649316;0,412233499
5,4945;0,9118312;0,027925259;0,369081683
5,5278;0,9132032;0,039370037;0,320583624
5,5611;0,9145752;0,047381381;0,324784244
5,5944;0,9162216;0,059283951;0,374618863
5,6277;0,9184168;0,073704371;0,388557282
5,661;0,9211608;0,087438105;0,346169214
5,6943;0,9244536;0,095907241;0,324211432
5,7276;0,927472;0,106207541;0,373091365
5,7609;0,9313136;0,121772439;0,400586328
5,7942;0,935704;0,134819486;0,379774169
5,8275;0,9403688;0,146035369;0,377101047
5,8608;0,945308;0,159769102;0,37691011
5,8941;0,9510704;0,172129463;0,352661081
5,9274;0,9568328;0,182658659;0,342923281
5,9607;0,963144;0,195247915;0,331848922
5,994;0,970004;0,203945946;0,346360152
6,0273;0,9765896;0,216535202;0,402113826
6,0606;0,9842728;0,232786787;0,398295081
6,0939;0,9922304;0,245376043;0,318483315
6,1272;1,0007368;0,254760761;0,156950411
6,1605;1,0092432;0,260712045;-0,274376813
6,1938;1,018024;0,255447447;-1,314984766
6,2271;1,027628;0,198681348;-2,953417214
6,2604;1,0350368;0,037767768;-3,862087535
6,2937;1,0300976;-0,121772439;-2,933750679
6,327;1,0232376;-0,179225225;-1,259803904
6,3603;1,016652;-0,18105639;-0,164778837
6,3936;1,011164;-0,169382716;0,264448076
6,4269;1,0054016;-0,156564565;0,368699809
6,4602;1,0007368;-0,143975309;0,390275717
6,4935;0,9957976;-0,130928262;0,407078194
6,5268;0,991956;-0,116278946;0,406696319
6,5601;0,9881144;-0,103231899;0,389702905
6,5934;0,985096;-0,090642643;0,38034698
6,6267;0,9820776;-0,078282282;0,384356662
6,66;0,9798824;-0,065464131;0,400013516
6,6933;0,9776872;-0,051959293;0,420061926
6,7266;0,9763152;-0,035936603;0,401922888
6,7599;0,975492;-0,024720721;0,372518553
6,7932;0,9746688;-0,013504838;0,40039539
6,8265;0,9743944;0,002517851;0,412424436
6,8598;0,9749432;0,015793794;0,377864796
6,8931;0,975492;0,027696363;0,343877968
6,9264;0,976864;0,037538872;0,34368703
6,9597;0,9779616;0,048525859;0,396385708
6,993;0,9798824;0,06500634;0,415288495
7,0263;0,982352;0,07942676;0,349033273
7,0596;0,9853704;0,088582583;0,278768369
7,0929;0,9883888;0,094304972;0,307218018
7,1262;0,9914072;0,106436436;0,404023198
7,1595;0,9952488;0,124519186;0,416434118
7,1928;0,9999136;0,137337337;0,345978277
7,2261;1,0045784;0,145577578;0,313518947
7,2594;1,0095176;0,155877878;0,303399273
7,2927;1,0147312;0,171213881;0,060718042
7,326;1,0210424;0,175334001;-0,673435642
7,3593;1,0273536;0,143517518;-1,826314692
7,3926;1,033116;0,041201201;-2,531064041
7,4259;1,030372;-0,068439773;-1,971236056
7,4592;1,0259816;-0,107352019;-0,832486362
7,4925;1,02214;-0,107352019;-0,070837716
7,5258;1,0188472;-0,098196196;0,253182779
7,5591;1,0155544;-0,086064731;0,359725758
7,5924;1,0130848;-0,07324658;0,39485821
7,6257;1,0106152;-0,058826159;0,395431022
7,659;1,0092432;-0,046236904;0,378055733
7,6923;1,0075968;-0,035021021;0,393330713
7,7256;1,0067736;-0,020371705;0,412233499
7,7589;1,0062248;-0,005722389;0,383592913
7,7922;1,0064992;0,00618018;0,331848922
7,8255;1,0067736;0,01442042;0,333758294
7,8588;1,0073224;0,02632299;0,394094461
7,8921;1,00842;0,041430097;0,434000344
7,9254;1,0100664;0,056994995;0,42254411
7,9587;1,0122616;0,07118652;0,365072001
7,992;1,0150056;0,080113447;0,330130486
8,0253;1,0174752;0,09178712;0,30702708
8,0586;1,0210424;0,104834168;0,111125473
8,0919;1,0246096;0,108267601;-0,383592913
8,1252;1,0287256;0,091329329;-1,168535903
8,1585;1,0325672;0,022431765;-1,655425863
8,1918;1,030372;-0,050128128;-1,239755493
8,2251;1,0273536;-0,071644311;-0,436673466
8,2584;1,024884;-0,066837504;0,083057699
8,2917;1,0229632;-0,056766099;0,302826461
8,325;1,0210424;-0,044176844;0,3845476
8,3583;1,0199448;-0,029756423;0,400777265
8,3916;1,0191216;-0,016709376;0,389702905
8,4249;1,0188472;-0,00412012;0,385120411
8,4582;1,0188472;0,008469136;0,393330713
8,4915;1,019396;0,021745078;0,405359759
8,5248;1,0202192;0,036394394;0,388366344
8,5581;1,0218656;0,049670337;0,31256426
8,5914;1,0237864;0,056537204;0,219386888
8,6247;1,0254328;0,065921922;0,028067774
8,658;1,0281768;0,069355355;-0,456149064
8,6913;1,0311952;0,039598932;-0,995355827
8,7246;1,031744;-0,015107107;-0,99860176
8,7579;1,0292744;-0,045321321;-0,456340001
8,7912;1,027628;-0,04280347;0,063009289
8,8245;1,026256;-0,03044311;0,291370227
8,8578;1,0257072;-0,018311645;0,335858604
8,8911;1,0251584;-0,009155822;0,369845432
8,9244;1,024884;0,005264598;0,416815993
8,9577;1,0254328;0,021516183;0,381301666
8,991;1,0265304;0,03250317;0,271894628
9,0243;1,027628;0,04074341;0,092222686
9,0576;1,0292744;0,043947948;-0,234089055
9,0909;1,0311952;0,027696363;-0,592860127
9,1242;1,031744;-0,005722389;-0,637921316
9,1575;1,030372;-0,027009676;-0,314473633
9,1908;1,0292744;-0,027925259;0,075706615
9,2241;1,0281768;-0,016022689;0,30292193
9,2574;1,0281768;-0,00206006;0,344202561
9,2907;1,0281768;0,008583584;0,319819875
9,324;1,029;0,017853854;0,295379909
9,3573;1,030372;-0,031816483;-0,176616946
9,3906;1,0292744;-0,024720721;0,15217698
9,4239;1,0287256;-0,013962629;0,252037156
9,4572;1,0284512;-0,005264598;0,238480612
9,4905;1,0284512;0,001373373;0,203730034
9,5238;1,0284512;0,008698031;0,137474812
9,5571;1,029;0,015793794;-0,079811766
9,5904;1,0300976;0,004577911;-0,328984863
9,6237;1,0292744;-0,008469136;-0,469323734
9,657;1,0300976;-0,034334334;-0,35476139
9,6903;1,0265304;-0,045550217;0,128691699
9,7236;1,0257072;-0,019685018;0,459013123
9,7569;1,0257072;-0,002975642;0,458822186
9,7902;1,0257072;0,010529196;0,400777265
9,8235;1,026256;0,024034034;0,296983782
9,8568;1,0273536;0,035021021;0,083764167
9,8901;1,0292744;0,027696363;-0,077692363
9,9234;1,029;0,023896697;-0,078876173
9,9567;1,0306464;0,024377377;-0,116299872
9,99;1,0309208;0,01648048;-0,174402074
