tempo;posizione;velocità;acc
0,0333;0,5317872;0,056766099;0,120290461
0,0666;0,533708;0,058597264;0,207644248
0,0999;0,5353544;0,066608609;0,322951246
0,1332;0,537824;0,082860194;0,369463558
0,1665;0,5411168;0,094076076;0,341204846
0,1998;0,5441352;0,104147481;0,340632035
0,2331;0,5479768;0,115821154;0,362589817
0,2664;0,5518184;0,12841041;0,385120411
0,2997;0,5564832;0,142601935;0,375000738
0,333;0,5614224;0,153588922;0,356479825
0,3663;0,566636;0,166407074;0,341586721
0,3996;0,5726728;0,175334001;0,353806704
0,4329;0,5781608;0,188152152;0,408987566
0,4662;0,5850208;0,205548215;0,385693223
0,4995;0,5921552;0,215161828;0,324975181
0,5328;0,5992896;0,225691024;0,304735834
0,5661;0,6072472;0,234617951;0,317719566
0,5994;0,6149304;0,244231565;0,396576646
0,6327;0,6231624;0,262314314;0,436673466
0,666;0,632492;0,278108108;0,358389198
0,6993;0,642096;0,284059393;0,328602988
0,7326;0,6511512;0,295961962;0,39485821
0,7659;0,6615784;0,313358025;0,388939156
0,7992;0,67228;0,324345012;0,322492997
0,8325;0,683256;0,333271939;0,295761783
0,8658;0,6945064;0,341283283;0,343114219
0,8991;0,7057568;0,355474808;0,409178503
0,9324;0,7181048;0,371726393;0,391994152
0,9657;0,7307272;0,38271338;0,341395784
0,999;0,743624;0,392555889;0,33681329
1,0323;0,7567952;0,404229563;0,358389198
1,0656;0,7705152;0,416818819;0,370227307
1,0989;0,7845096;0,430323657;0,346742026
1,1322;0,7993272;0,440166166;0,318865189
1,1655;0,8138704;0,448864198;0,359343884
1,1988;0,8289624;0,4642002;0,397913206
1,2321;0,8448776;0,477476143;0,379583231
1,2654;0,8607928;0,489836503;0,345405466
1,2987;0,8775312;0,50082349;0,302635524
1,332;0,8942696;0,508605939;0,301871775
1,3653;0,9112824;0,519592926;0,341204846
1,3986;0,928844;0,531724391;0,371563867
1,4319;0,94668;0,544771438;0,364117315
1,4652;0,9650648;0,558962963;0,186354745
1,4985;0,9839984;0,568576577;-0,516676169
1,5318;1,0032064;0,553011678;-2,231865388
1,5651;1,0224144;0,464886887;-5,130292677
1,5984;1,039976;0,205548215;-7,587082133
1,6317;1,0391528;-0,137337337;-7,130933069
1,665;1,0259816;-0,346318986;-4,288832265
1,6983;1,0114384;-0,408807474;-1,592225637
1,7316;0,997444;-0,407662996;-0,168979457
1,7649;0,9842728;-0,393700367;0,287742419
1,7982;0,971376;-0,382026693;0,384356662
1,8315;0,9587536;-0,368750751;0,42808129
1,8648;0,94668;-0,35227027;0,430754411
1,8981;0,9354296;-0,338765432;0,398295081
1,9314;0,9241792;-0,327091758;0,392566964
1,9647;0,9134776;-0,311984651;0,375955424
1,998;0,9035992;-0,301455455;0,353042955
2,0313;0,8934464;-0,291612946;0,405550696
2,0646;0,8838424;-0,273759092;0,438010026
2,0979;0,875336;-0,258880881;0,383974788
2,1312;0,8668296;-0,249496163;0,361253256
2,1645;0,8585976;-0,237364698;0,402877574
2,1978;0,8509144;-0,222257591;0,436100654
2,2311;0,84378;-0,206692693;0,425599106
2,2644;0,8371944;-0,192501168;0,379965106
2,2977;0,8311576;-0,18311645;0,379201357
