tempo;posizione;velocità;acc
0,0333;0,5293176;0,006866867;-0,090084189
0,0666;0,529592;0,004463463;-0,094074778
0,0999;0,5298664;-0,001098699;-0,061920947
0,1332;0,5293176;-0,001602269;0,013117388
0,1665;0,529592;0,00206006;0,027666806
0,1998;0,529592;0,002517851;-0,019704723
0,2331;0,5298664;0;-0,050407431
0,2664;0,529592;-0,002746747;-0,0276859
0,2997;0,529592;-0,002746747;0,021384971
0,333;0,5293176;-0,000228896;0,039714946
0,3663;0,529592;0,001831164;0,006491866
0,3996;0,529592;0;-0,021957782
0,4329;0,529592;-0,001831164;0,005346243
0,4662;0,5293176;0,000228896;0,035323389
0,4995;0,529592;0,002517851;0,016993414
0,5328;0,529592;0,00206006;-0,008401239
0,5661;0,5298664;-0,001144478;0,05880867
0,5994;0,5293176;0,001831164;0,239626235
0,6327;0,529592;0,016251585;0,382829164
0,666;0,5304152;0,031587588;0,402686637
0,6993;0,5317872;0,044634635;0,36373544
0,7326;0,5334336;0,055850517;0,319438001
0,7659;0,5356288;0,064090757;0,323829558
0,7992;0,5375496;0,075993327;0,36583575
0,8325;0,540568;0,090871538;0,352661081
0,8658;0,5438608;0,099798465;0,332230796
0,8991;0,5471536;0,110327661;0,372709491
0,9324;0,5509952;0,125663664;0,390275717
0,9657;0,55566;0,13825292;0,362589817
0,999;0,5603248;0,147866533;0,377482922
1,0323;0,565264;0,163202536;0,396767583
1,0656;0,5713008;0,176020687;0,375573549
1,0989;0,5770632;0,18723657;0,374046051
1,1322;0,5836488;0,200970304;0,367363248
1,1655;0,5905088;0,212872873;0,336049541
1,1988;0,5979176;0,222715382;0,323447683
1,2321;0,6053264;0,232786787;0,352852018
1,2654;0,613284;0,246520521;0,375573549
1,2987;0,6217904;0,259109776;0,364499189
1,332;0,6305712;0,271012346;0,347505775
1,3653;0,6399008;0,281312646;0,35476139
1,3986;0,6492304;0,293673006;0,387220721
1,4319;0,6593832;0,308093427;0,391994152
1,4652;0,6698104;0,320911578;0,363544503
1,4985;0,6807864;0,332585252;0,326502679
1,5318;0,6920368;0,34196997;0,313137072
1,5651;0,7035616;0,351812479;0,344832654
1,5984;0,7153608;0,364401735;0,387411658
1,6317;0,7277088;0,379966633;0,370609181
1,665;0,74088;0,390266934;0,325357055
1,6983;0,7537768;0,398736069;0,353806704
1,7316;0,7672224;0,412698699;0,410515064
1,7649;0,7812168;0,428034701;0,41357006
1,7982;0,79576;0,442455122;0,353042955
1,8315;0,810852;0,45183984;0,286214921
1,8648;0,825944;0,458935602;0,29251585
1,8981;0,8413104;0,469007007;0,358580135
1,9314;0,8569512;0,484571905;0,382829164
1,9647;0,8736896;0,497847848;0,326502679
1,998;0,890428;0,503570237;0,332994545
