tempo;posizione;velocità;acc
0,0333;0,5252016;0;-0,012410921
0,0666;0,5252016;-0,000343343;-0,013938418
0,0999;0,5252016;-0,000686687;-0,018043569
0,1332;0,5252016;-0,002288956;-0,00620546
0,1665;0,5249272;-0,000915582;0,000859218
0,1998;0,5252016;-0,001144478;-0,015847791
0,2331;0,5249272;-0,002975642;-0,003245933
0,2664;0,5249272;-0,002746747;0,049452745
0,2997;0,5246528;0,000228896;0,115326092
0,333;0,5249272;0,004806807;0,191319114
0,3663;0,5249272;0,011673674;0,296907407
0,3996;0,525476;0,025178512;0,377291984
0,4329;0,5265736;0,039598932;0,378819482
0,4662;0,52822;0,051730397;0,34025016
0,4995;0,5301408;0,060428428;0,344450779
0,5328;0,5320616;0,073704371;0,377101047
0,5661;0,53508;0,086522523;0,386456972
0,5994;0,537824;0,09956957;0,387220721
0,6327;0,5416656;0,113303303;0,360489507
0,666;0,5455072;0,123603604;0,335285792
0,6993;0,5498976;0,133903904;0,352852018
0,7326;0,554288;0,147408742;0,364117315
0,7659;0,559776;0,159540207;0,341968595
0,7992;0,5649896;0,169611612;0,335858604
0,8325;0,5710264;0,18105639;0,353615767
0,8658;0,5770632;0,192272272;0,39352165
0,8991;0,5836488;0,208294962;0,40459601
0,9324;0,5910576;0,221113113;0,365262938
0,9657;0,5984664;0,231642309;0,348842336
0,999;0,606424;0,243315983;0,360489507
1,0323;0,614656;0,255676343;0,374236989
1,0656;0,6234368;0,268494494;0,377864796
1,0989;0,632492;0,281999333;0,354379516
1,1322;0,6423704;0,292070737;0,334331106
1,1655;0,6519744;0,301455455;0,380728855
1,1988;0,6621272;0,318622623;0,394667273
1,2321;0,6733776;0,330982983;0,329748612
1,2654;0,6843536;0,338994328;0,305499583
1,2987;0,6958784;0,348607941;0,351133583
1,332;0,7074032;0,362570571;0,398104144
1,3653;0,7200256;0,377219887;0,388939156
1,3986;0,732648;0,388664665;0,364308252
1,4319;0,7458192;0,401711712;0,332421733
1,4652;0,7595392;0,41109643;0,300917089
1,4985;0,7732592;0,41933667;0,333185482
1,5318;0,7872536;0,432841508;0,375764487
1,5651;0,8020712;0,446804137;0,358007323
1,5984;0,8171632;0,457104438;0,328984863
1,6317;0,8325296;0,466946947;0,344450779
1,665;0,8481704;0,479078412;0,388175407
1,6983;0,86436;0,493727728;0,406505382
1,7316;0,8810984;0,507232566;0,386838846
1,7649;0,8981112;0,520737404;0,332421733
1,7982;0,9159472;0,529664331;0,278386495
1,8315;0,9335088;0,535844511;0,311800511
1,8648;0,9513448;0,549349349;0,34025016
1,8981;0,970004;0,565143143;0,079429891
1,9314;0,989212;0,570636637;-0,863418195
1,9647;1,00842;0,542024691;-2,941388168
1,998;1,0279024;0,414758759;-5,981299952
2,0313;1,0421712;0,112616617;-7,866996125
2,0646;1,0364088;-0,216306306;-6,567286339
2,0979;1,0218656;-0,379737738;-3,477158061
2,1312;1,0073224;-0,415445445;-1,085860079
2,1645;0,9936024;-0,40903637;0,001145623
2,1978;0,9801568;-0,396447114;0,315428319
2,2311;0,96726;-0,385002336;0,395621959
2,2644;0,9543632;-0,370124124;0,432472847
2,2977;0,942564;-0,353872539;0,406314445
2,331;0,9310392;-0,343572239;0,388939156
2,3643;0,9195144;-0,329380714;0,404023198
2,3976;0,9090872;-0,315189189;0,38798447
2,4309;0,89866;-0,303973307;0,38798447
2,4642;0,8887816;-0,29092626;0,423307859
2,4975;0,8791776;-0,275361361;0,442783457
2,5308;0,8703968;-0,258880881;0,396767583
2,5641;0,8621648;-0,248351685;0,338722662
2,5974;0,8539328;-0,239653654;0,367172311
2,6307;0,8459752;-0,225233233;0,431327223
2,664;0,8388408;-0,208294962;0,430563474
2,6973;0,8322552;-0,195019019;0,388939156
2,7306;0,825944;-0,184032032;0,384929474
2,7639;0,8199072;-0,170984985;0,420634738
2,7972;0,8144192;-0,154504505;0,420634738
2,8305;0,8097544;-0,141457457;0,384738537
2,8638;0,8050896;-0,13047047;0,388175407
2,8971;0,8009736;-0,117194528;0,427699416
2,9304;0,797132;-0,100485152;0,431327223
2,9637;0,794388;-0,086064731;0,375764487
2,997;0,791644;-0,077824491;0,374427926
3,0303;0,7889;-0,062488488;0,409560378
3,0636;0,787528;-0,048068068;0,388557282
3,0969;0,7858816;-0,037767768;0,392566964
3,1302;0,784784;-0,02220287;0,399249767
3,1635;0,7845096;-0,009613614;0,373282302
3,1968;0,7842352;0,001373373;0,380156043
3,2301;0,7845096;0,01442042;0,412997248
3,2634;0,7850584;0,030672005;0,400013516
3,2967;0,7867048;0,043032366;0,337958913
3,33;0,7880768;0,051272606;0,327648302
3,3633;0,7899976;0,062717384;0,377482922
3,3966;0,7921928;0,076222222;0,43151816
3,4299;0,7949368;0,093389389;0,427126604
3,4632;0,798504;0,107580914;0,344450779
3,4965;0,8023456;0,115363363;0,290415541
3,5298;0,8061872;0,123145812;0,336049541
3,5631;0,8103032;0,137108442;0,400777265
3,5964;0,8152424;0,153131131;0,3845476
3,6297;0,8207304;0,163889223;0,333185482
3,663;0,8262184;0,172587254;0,345023591
3,6963;0,8319808;0,187007674;0,36029857
3,7296;0,8388408;0,197765766;0,350369834
3,7629;0,845152;0,208752753;0,374618863
3,7962;0,8525608;0,22385986;0,368508871
3,8295;0,860244;0,234389056;0,340441097
3,8628;0,8682016;0,244689356;0,356479825
3,8961;0,8764336;0,257278612;0,389702905
3,9294;0,8852144;0,27284351;0,369463558
3,9627;0,8948184;0,28314381;0,317719566
3,996;0,904148;0,291384051;0,331657984
4,0293;0,9140264;0,304431098;0,370227307
4,0626;0,9244536;0,317249249;0,378819482
4,0959;0,9351552;0,330067401;0,370036369
4,1292;0,9464056;0,343114448;0,330703298
4,1625;0,9582048;0,351354688;0,313709884
4,1958;0,9697296;0,361426093;0,354570453
4,2291;0,9820776;0,376762095;0,303399273
4,2624;0,9949744;0,388435769;-0,083439573
4,2957;1,0078712;0,390495829;-1,190302749
4,329;1,0218656;0,346318986;-3,29882268
4,3623;1,0353112;0,173045045;-5,267576552
4,3956;1,0361344;-0,07530664;-5,124182686
4,4289;1,0268048;-0,229582249;-3,101775449
4,4622;1,0172008;-0,271470137;-1,15631592
4,4955;1,0081456;-0,275361361;-0,087258318
4,5288;0,9985416;-0,261398732;0,35476139
4,5621;0,990584;-0,242858192;0,423498796
4,5954;0,9826264;-0,230726727;0,377101047
4,6287;0,9752176;-0,219053053;0,352852018
4,662;0,9680832;-0,208752753;0,374618863
4,6953;0,9612232;-0,19547681;0,43361847
4,7286;0,954912;-0,178309643;0,447747826
4,7619;0,949424;-0,163202536;0,397340395
4,7952;0,9442104;-0,152444444;0,362589817
4,8285;0,9392712;-0,141686353;0,396194771
4,8618;0,9346064;-0,126579246;0,442783457
4,8951;0,9307648;-0,109640974;0,424262545
4,9284;0,927472;-0,096822823;0,366599499
4,9617;0,9244536;-0,087667;0,369463558
4,995;0,9214352;-0,073704371;0,413951934
5,0283;0,9195144;-0,058597264;0,422353173
5,0616;0,9175936;-0,04486353;0,406696319
5,0949;0,916496;-0,030900901;0,374236989
5,1282;0,9156728;-0,020371705;0,357243574
5,1615;0,915124;-0,009384718;0,40039539
5,1948;0,9148496;0,006866867;0,42808129
5,2281;0,9156728;0,020829496;0,407651005
5,2614;0,9162216;0,034792125;0,366408562
5,2947;0,9181424;0,04486353;0,337004227
5,328;0,91924;0,054248248;0,38244729
5,3613;0,9214352;0,071415415;0,400968202
5,3946;0,9241792;0,084004671;0,345596403
5,4279;0,9271976;0,092702703;0,330130486
5,4612;0,930216;0,104147481;0,36239888
5,4945;0,9340576;0,117881215;0,375191675
5,5278;0,9381736;0,129325993;0,379965106
5,5611;0,942564;0,143288622;0,37691011
5,5944;0,9477776;0,155420087;0,349415148
5,6277;0,9529912;0,165720387;0,345214528
5,661;0,9587536;0,177622956;0,359343884
5,6943;0,9647904;0,189983317;0,366408562
5,7276;0,971376;0,203259259;0,345978277
5,7609;0,9785104;0,212186186;0,345214528
5,7942;0,9853704;0,224546547;0,381110729
5,8275;0,993328;0,239882549;0,345214528
5,8608;1,00156;0,25018285;0,185972871
5,8941;1,0100664;0,256820821;-0,2379078
5,9274;1,0185728;0,252471805;-1,252930163
5,9607;1,0281768;0,198910244;-2,867686394
5,994;1,0355856;0,041658992;-3,79124982
6,0273;1,0309208;-0,115363363;-2,9184757
6,0606;1,0243352;-0,173731732;-1,309065711
6,0939;1,018024;-0,18105639;-0,193992235
6,1272;1,0119872;-0,167780447;0,305117708
6,1605;1,0067736;-0,150842176;0,404214135
6,1938;1,0021088;-0,138024024;0,370227307
6,2271;0,9977184;-0,128639306;0,379965106
6,2604;0,993328;-0,114218886;0,427508478
6,2937;0,9900352;-0,097738405;0,418534428
6,327;0,9870168;-0,085835836;0,394285399
6,3603;0,9842728;-0,073017684;0,404405072
6,3936;0,9820776;-0,058597264;0,410515064
6,4269;0,9804312;-0,045321321;0,41013319
6,4602;0,9790592;-0,031816483;0,415861307
6,4935;0,978236;-0,016938272;0,398295081
6,5268;0,9779616;-0,003433433;0,340059223
6,5601;0,978236;0,004577911;0,318865189
6,5934;0,978236;0,013733734;0,400013516
6,6267;0,9787848;0,032045379;0,457676562
6,66;0,9804312;0,04898365;0,391612277
6,6933;0,982352;0,058139473;0,317719566
6,7266;0,9842728;0,067295295;0,315046445
6,7599;0,9867424;0,078511178;0,333758294
6,7932;0,9894864;0,090413747;0,329557675
6,8265;0,9927792;0,102087421;0,269603382
6,8598;0,9963464;0,109183183;0,206021281
6,8931;1,000188;0,115363363;0,180053816
6,9264;1,0045784;0,111014348;0,34025016
6,9597;1,005676;0,144204204;0,363544503
6,993;1,0150056;0,163431431;-0,27456775
7,0263;1,0204936;0,087667;-0,123918268
7,0596;1,0144568;0,156335669;-0,118762963
7,0929;1,033116;0,159082416;-2,001976952
7,1262;1,0322928;-0,018311645;-2,756179046
7,1595;1,027628;-0,095678345;-1,61208311
7,1928;1,0237864;-0,114676677;-0,53596083
7,2261;1,0199448;-0,110556557;-0,036278075
7,2594;1,0158288;-0,100027361;-0,054226176
7,2927;1,0141824;-0,104376376;-0,237525925
7,326;1,0117128;-0,167551552;0,777687375
7,3593;0,9957976;-0,057681682;1,85686465
7,3926;1,0081456;0,049670337;0,631620387
7,4259;1,0075968;-0,047610277;0,06434585
7,4592;0,9985416;0,000686687;0,750192412
7,4925;1,007048;0,057452786;0,240389984
7,5258;1,0073224;0,005035702;0,047925247
7,5591;1,0040296;0,029985319;0,522022412
7,5924;1,0086944;0,065921922;0,407269131
7,6257;1,0103408;0,061344011;0,199338478
7,659;1,0122616;0,066837504;0,248027474
7,6923;1,0144568;0,078053387;0,316001131
7,7256;1,0174752;0,091558225;0,297671156
7,7589;1,020768;0,100027361;0,156759473
7,7922;1,0240608;0,106207541;-0,176616946
7,8255;1,0279024;0,102316316;-0,880220672
7,8588;1,0325672;0,050128128;-1,574086599
7,8921;1,0322928;-0,029985319;-1,470598616
7,9254;1,029;-0,068897564;-0,72479776
7,9587;1,0265304;-0,070957624;-0,093559247
7,992;1,0243352;-0,065693026;0,262920578
8,0253;1,0218656;-0,050357024;0,454239692
8,0586;1,020768;-0,029756423;0,451757508
8,0919;1,0202192;-0,017624958;0,365453876
8,1252;1,0196704;-0,007782449;0,334522043
8,1585;1,0196704;0,002288956;0,370991056
8,1918;1,0196704;0,016709376;0,420634738
8,2251;1,020768;0,032045379;0,419489114
8,2584;1,0218656;0,045550217;0,379201357
8,2917;1,0237864;0,058826159;0,274949624
8,325;1,0259816;0,065921922;0,070646778
8,3583;1,0281768;0,068210878;-0,29117929
8,3916;1,0309208;0,054477144;-0,825803559
8,4249;1,033116;0,005493493;-1,088724137
8,4582;1,0311952;-0,040514515;-0,704558412
8,4915;1,029;-0,047381381;-0,107306728
8,5248;1,027628;-0,037538872;0,239435298
8,5581;1,0265304;-0,024491825;0,355334202
8,5914;1,0259816;-0,010986987;0,350751708
8,6247;1,0259816;-0,00206006;0,355334202
8,658;1,0257072;0,010529196;0,407460068
8,6913;1,0265304;0,027009676;0,395049148
8,7246;1,027628;0,040285619;0,253373716
8,7579;1,0292744;0,048525859;-0,050216494
8,7912;1,0311952;0,043032366;-0,496627759
8,8245;1,033116;0,010529196;-0,759548337
8,8578;1,0320184;-0,024949616;-0,51591242
8,8911;1,030372;-0,030672005;-0,044106502
8,9244;1,0295488;-0,020829496;0,262347767
8,9577;1,029;-0,007553554;0,383974788
8,991;1,029;0,007324658;0,384165725
9,0243;1,0295488;0,020142809;0,2835418
9,0576;1,030372;0,029527528;0,066828034
9,0909;1,031744;0,029527528;-0,266548386
9,1242;1,033116;0,008011345;-0,464550303
9,1575;1,0322928;-0,013962629;-0,297862093
9,1908;1,0314696;-0,016251585;0,019093724
9,2241;1,0309208;-0,008011345;0,223969381
9,2574;1,0309208;0,003433433;0,264639013
9,2907;1,0311952;0,012589256;0,177571632
9,324;1,031744;0,019685018;-0,033032142
9,3573;1,033116;0,010071405;-0,218050327
9,3906;1,0325672;-0,003891225;-0,149694795
9,4239;1,0322928;-0,002975642;0,014129356
9,4572;1,0322928;0,000915582;0,08019364
9,4905;1,0322928;0,006866867;0,018329975
9,5238;1,033116;0,002975642;-0,0733199
9,5571;1,0325672;-0,002975642;-0,038187448
9,5904;1,0325672;-0,000457791;0,026922151
9,6237;1,0325672;0,001831164;0,023676218
9,657;1,0328416;0,001144478;0,009355925
9,6903;1,0325672;0,001373373;0,014893105
9,7236;1,0328416;0,003891225;-0,018139038
9,7569;1,033116;-0,000686687;-0,029786209
9,7902;1,0325672;0,000228896;0,000190937
9,8235;1,033116;0,001373373;-0,016649727
9,8568;1,0328416;-0,001602269;-0,014434855
9,8901;1,0328416;-0,000457791;0,006339116
9,9234;1,0328416;-0,000274675;0,006071804
9,9567;1,0328416;0;0,005594461
9,99;1,0328416;0;0,002138497
