tempo;posizione;velocità;acc
0,05;0,4785536;0,078966222;0,167824395
0,1;0,4823952;0,084759111;0,233104494
0,15;0,4862368;0,098875467;0,308496741
0,2;0,4919992;0,118144444;0,341949827
0,25;0,4983104;0,134760889;0,345557679
0,3;0,5054448;0,151834667;0,357092642
0,35;0,5134024;0,170280444;0,370778765
0,4;0,5224576;0,189336;0,377215309
0,45;0,532336;0,208391556;0,375352099
0,5;0,543312;0,227142222;0,368407407
0,55;0,5551112;0,244825778;0,368915556
0,6;0,5677336;0,263576444;0,378400988
0,65;0,5814536;0,282784444;0,385684444
0,7;0,5959968;0,302297333;0,388225185
0,75;0,6116376;0,32242;0,375521481
0,8;0,628376;0,340103556;0,357736296
0,85;0,6456632;0,357329778;0,350537531
0,9;0,664048;0,375623111;0,317761975
0,95;0,683256;0,392544444;0,18581284
1;0,7032872;0,403215556;-0,115519012
1,05;0,7246904;0,388123556;-0,45962
1,1;0,7447216;0,333853333;-0,303025679
1,15;0,7565208;0,314492889;0,623582469
1,2;0,7699664;0,406721778;1,362429877
1,25;0,7976808;0,499255556;1,212018025
1,3;0,8232;0,536452;0,795421235
1,35;0,8509144;0,569837333;0,479945926
1,4;0,8810984;0,581880444;0,242725432
1,45;0,909636;0,585539111;0,126952346
1,5;0,9387224;0,602917778;-0,312765185
1,55;0,970004;0,595448;-1,672146173
1,6;1,0012856;0,498798222;-4,103296296
1,65;1,0322928;0,166926667;-5,97133358
1,7;1,0218656;-0,235069333;-5,164902469
1,75;0,997444;-0,429740889;-2,668963457
1,8;0,9716504;-0,465108;-0,661100741
1,85;0,949424;-0,439649778;0,231884938
1,9;0,9282952;-0,415258667;0,418290617
1,95;0,9079896;-0,393306667;0,38915679
2;0,889056;-0,375623111;0,317592593
2,05;0,8706712;-0,362360444;0,274823457
2,1;0,8531096;-0,353213778;0,32928
2,15;0,8347248;-0,332633778;0,439717531
2,2;0,8193584;-0,304279111;0,480115309
2,25;0,8048152;-0,282174667;0,499763704
2,3;0,791644;-0,265100889;0,697941481
2,35;0,776552;-0,216623556;0,942784198
2,4;0,7691432;-0,154273778;0,882145185
2,45;0,7625576;-0,116315111;0,586148889
2,5;0,758716;-0,102290222;0,372980741
2,55;0,751856;-0,085521333;0,277448889
2,6;0,7502096;-0,071191556;0,150835309
2,65;0,7455448;-0,071648889;0,062163457
2,7;0,7428008;-0,068752444;0,05615037
2,75;0,7389592;-0,070276889;0,14465284
2,8;0,7351176;-0,058081333;0,305651111
2,85;0,732648;-0,036129333;0,399827901
2,9;0,7315504;-0,013415111;0,402622716
2,95;0,7315504;0,005183111;0,371879753
3;0,7320992;0,022561778;0,354772099
3,05;0,7337456;0,040702667;0,332498272
3,1;0,7362152;0,057014222;0,285494568
3,15;0,739508;0,071496444;0,197500247
3,2;0,7438984;0,076069778;0,113909877
3,25;0,7469168;0,081405333;0,061909383
3,3;0,7521304;0,084454222;0,002286667
3,35;0,7562464;0,074240444;0,097649136
3,4;0,7584416;0,084759111;0,382720247
3,45;0,7639296;0,114028444;0,655680494
3,5;0,769692;0,151224889;0,877741235
3,55;0,7776496;0,211897778;0,87935037
3,6;0,7919184;0,253515111;0,611386914
3,65;0,8045408;0,267082667;0,431671852
3,7;0,8179864;0,287815111;0,416173333
3,75;0,8333528;0,308090222;0,436668642
3,8;0,8487192;0,330956889;0,46275358
3,85;0,8660064;0,359616444;0,389664938
3,9;0,8854888;0,373641333;0,258139259
3,95;0,9038736;0,378824444;0,243064198
4;0,9228072;0,392849333;0,309462222
4,05;0,9428384;0,414191556;0,235272593
4,1;0,9642416;0,431875111;-0,276686667
4,15;0,9861936;0,423643111;-1,558320988
4,2;1,011164;0,311444;-3,375289383
4,25;1,0259816;0,039940444;-4,193831358
4,3;1,0136336;-0,205495111;-3,104277037
4,35;0,9971696;-0,295894667;-1,372423457
4,4;0,98098;-0,305956;-0,228158519
4,45;0,9661624;-0,289339556;0,267116543
4,5;0,9518936;-0,266930222;0,398980988
4,55;0,9395456;-0,245435556;0,391274074
4,6;0,927472;-0,227294667;0,355195556
4,65;0,9167704;-0,208848889;0,307768395
4,7;0,9071664;-0,199854667;0,324621975
4,75;0,8961904;-0,180494222;0,416681481
4,8;0,8887816;-0,154731111;0,454877284
4,85;0,8810984;-0,133998667;0,469867654
4,9;0,8750616;-0,107930667;0,475033827
4,95;0,8703968;-0,084301778;0,440395062
5;0,8668296;-0,063874222;0,40601037
5,05;0,8640856;-0,045276;0,397202469
5,1;0,8621648;-0,024696;0,399827901
5,15;0,861616;-0,004116;0,382974321
5,2;0,8618904;0,013872444;0,360361728
5,25;0,862988;0,031708444;0,343169383
5,3;0,8651832;0,047410222;0,343931605
5,35;0,8676528;0,064636444;0,374081728
5,4;0,8714944;0,084911556;0,404655309
5,45;0,8761592;0,105491556;0,425489383
5,5;0,8819216;0,128358222;0,422525185
5,55;0,889056;0,149548;0,382466173
5,6;0,8970136;0,167536444;0,330042222
5,65;0,9060688;0,180799111;0,320133333
5,7;0,915124;0,194824;0,396863704
5,75;0,9250024;0,218910222;0,491972099
5,8;0,9365272;0,250923556;0,458942469
5,85;0,950796;0,270741333;0,305312346
5,9;0,9642416;0,278363556;0,156170864
5,95;0,978236;0,289796889;-0,154222963
6;0,993328;0,284766222;-0,928556049
6,05;1,0086944;0,226989778;-2,173773086
6,1;1,0226888;0,046952889;-2,92176716
6,15;1,013908;-0,141163556;-2,209174074
6,2;1,00156;-0,201226667;-0,889852099
6,25;0,9911328;-0,198025333;-0,066143951
6,3;0,9820776;-0,183085778;0,245943704
6,35;0,9732968;-0,172872;0,423795556
6,4;0,9634184;-0,140248889;0,540415556
6,45;0,9593024;-0,107778222;0,458010864
6,5;0,9538144;-0,094668;0,367052346
6,55;0,949424;-0,076374667;0,35985358
6,6;0,9461312;-0,058386222;0,361970864
6,65;0,9436616;-0,040397778;0,375860247
6,7;0,9420152;-0,021189778;0,393476049
6,75;0,9414664;-0,000457333;0,398726914
6,8;0,9420152;0,019360444;0,389495556
6,85;0,9433872;0,039178222;0,369084938
6,9;0,9461312;0,055642222;0,360954568
6,95;0,9488752;0,073478222;0,383313086
7;0,9532656;0,094820444;0,391274074
7,05;0,9584792;0,114180889;0,372472593
7,1;0,9647904;0,131712;0,359006667
7,15;0,9716504;0,148938222;0,362224938
7,2;0,979608;0,167688889;0,350537531
7,25;0,9883888;0,188268889;0,180053827
7,3;0,9982672;0,200769333;-0,346811111
7,35;1,0092432;0,184000444;-1,374964198
7,4;1,0229632;0,052898222;-2,120586914
7,45;1,01528;-0,092533778;-1,64453679
7,5;1,0078712;-0,133998667;-0,658390617
7,55;1,0004624;-0,135675556;-0,011094568
7,6;0,9938768;-0,118296889;0,279058025
7,65;0,9886632;-0,099241333;0,345710123
7,7;0,9845472;-0,088265333;0,447932593
7,75;0,9785104;-0,055337333;0,546852099
7,8;0,9790592;-0,023019111;0,467580988
7,85;0,9774128;-0,010366222;0,414479506
7,9;0,9774128;0,012195556;0,459535309
7,95;0,9785104;0,036281778;0,489939506
8;0,9807056;0,066008444;0,430570864
8,05;0,9856448;0,084911556;0,271689877
8,1;0,9900352;0,088722667;0,190386173
8,15;0,9941512;0,097412;0,220366914
8,2;0,9993648;0,113418667;0,183780247
8,25;1,005676;0,124242222;-0,056827901
8,3;1,0119872;0,122412889;-0,580220494
8,35;1,0202192;0,073173333;-1,175600741
8,4;1,0218656;-0,021799556;-1,231581728
8,45;1,0161032;-0,081710222;-0,662794568
8,5;1,0108896;-0,086893333;-0,055896296
8,55;1,0067736;-0,070734222;0,257207654
8,6;1,0040296;-0,053050667;0,366036049
8,65;1,0012856;-0,032470667;0,398811605
8,7;1,0007368;-0,011128444;0,382042716
8,75;1,0004624;0,005488;0,360531111
8,8;1,0010112;0,025000889;0,342576543
8,85;1,0032064;0,04116;0,31056321
8,9;1,005676;0,049849333;0,356804691
8,95;1,0067736;0,080185778;0,291931111
9;1,013908;0,100156;-0,157017778
9,05;1,019396;0,071039111;-0,707257531
9,1;1,0226888;0,008079556;-0,853434815
9,15;1,0188472;-0,033842667;-0,582168395
9,2;1,0182984;-0,052440889;-0,202242963
9,25;1,0130848;-0,054270222;0,180900741
9,3;1,0114384;-0,027135111;0,39728716
9,35;1,0106152;-0,003506222;0,388733333
9,4;1,0114384;0,014939556;0,302771605
9,45;1,0128104;0,022256889;0,250940494
9,5;1,0128104;0,039025778;0,180561975
9,55;1,0161032;0,060368;-0,210542716
9,6;1,0226888;0,016159111;-0,535926914
9,65;1,0174752;-0,025153333;-0,290406667
9,7;1,0172008;-0,016006667;0,061062469
9,75;1,0163776;-0,007622222;0,232901235
9,8;1,0161032;0,009756444;0,310901975
9,85;1,0169264;0,031708444;0,219350617
9,9;1,0204936;0,032928;0,106863556
9,95;1,0202192;0,033690222;0,130085926
10;1,0232376;0,046343111;0,187506667
6,6933;1,0254328;0,245376043;-2,800476486
6,7266;1,0353112;0,094991658;-4,130736231
6,7599;1,033116;-0,092016016;-3,627234731
6,7932;1,0257072;-0,184489823;-1,925220182
6,8265;1,0185728;-0,202801468;-0,557727675
6,8598;1,0119872;-0,198681348;0,12239077
6,8931;1,0051272;-0,184489823;0,372327616
6,9264;0,9996392;-0,168467134;0,395621959
6,9597;0,9941512;-0,158166834;0,388939156
