tempo;posizione;velocità;acc
0,0333;0,5545624;-0,006409076;0,059916106
0,0666;0,554288;-0,004234568;0,056364673
0,0999;0,554288;-0,003021421;0,057109328
0,1332;0,5540136;-0,000228896;0,050846587
0,1665;0,554288;0,001831164;0,008420332
0,1998;0,554288;0;-0,021537721
0,2331;0,554288;-0,001831164;0,006682803
0,2664;0,5540136;0,000228896;0,041051506
0,2997;0,554288;0,002746747;0,0276859
0,333;0,554288;0,002975642;-0,012219983
0,3663;0,5545624;0,000915582;-0,027876837
0,3996;0,554288;0,000228896;-0,017757163
0,4329;0,5545624;0;-0,011838109
0,4662;0,554288;-0,000228896;-0,012792795
0,4995;0,5545624;-0,000686687;-0,017566226
0,5328;0,554288;-0,002288956;-0,000190937
0,5661;0,554288;-0,000686687;0,016229665
0,5994;0,554288;-0,000228896;0,006491866
0,6327;0,554288;-0,000228896;-0,003054996
0,666;0,554288;-0,000686687;0,000381874
0,6993;0,554288;-0,001831164;0,054226176
0,7326;0,5540136;0,001602269;0,14797636
0,7659;0,554288;0,008698031;0,226069691
0,7992;0,5545624;0,017396063;0,28144149
0,8325;0,5553856;0,028154154;0,314282696
0,8658;0,5564832;0,038225559;0,346360152
0,8991;0,5578552;0,050585919;0,391039466
0,9324;0,559776;0,065235235;0,404977884
0,9657;0,5622456;0,078511178;0,389511968
0,999;0,5649896;0,092016016;0,353042955
1,0323;0,5685568;0,100942943;0,343877968
1,0656;0,5715752;0,113074408;0,383211039
1,0989;0,5759656;0,12841041;0,377291984
1,1322;0,580356;0,13825292;0,36927262
1,1655;0,5850208;0,151986653;0,382065415
1,1988;0,5905088;0,164575909;0,372136679
1,2321;0,5959968;0,17693627;0,358771072
1,2654;0,602308;0,188609943;0,343305156
1,2987;0,6086192;0,198910244;0,353997641
1,332;0,6154792;0,211270604;0,388366344
1,3653;0,6226136;0,225691024;0,398867892
1,3986;0,6305712;0,238738071;0,382638227
1,4319;0,6385288;0,251098432;0,366217625
1,4652;0,6473096;0,263001001;0,35476139
1,4985;0,6560904;0,273759092;0,368890746
1,5318;0,66542;0,287721722;0,37691011
1,5651;0,6752984;0,300082082;0,355525139
1,5984;0,6854512;0,31152686;0,335667666
1,6317;0,6961528;0,320453787;0,366408562
1,665;0,70658;0,334874208;0,423307859
1,6983;0,7183792;0,351354688;0,41013319
1,7316;0,7301784;0,363028362;0,369654495
1,7649;0,7425264;0,374930931;0,351515457
1,7982;0,7551488;0,386375709;0,342159532
1,8315;0,76832;0,396904905;0,355525139
1,8648;0,7814912;0,409494161;0,378246671
1,8981;0,7954856;0,424372372;0,348269524
1,9314;0,8100288;0,432841508;0,318292378
1,9647;0,8242976;0,441768435;0,382065415
1,998;0,8391152;0,459164498;0,423116922
2,0313;0,8550304;0,472898232;0,387793533
2,0646;0,8706712;0,485029696;0,347696712
2,0979;0,8874096;0,494872206;0,338531725
2,1312;0,9035992;0,505630297;0,381301666
2,1645;0,9208864;0,521424091;0,393903524
2,1978;0,938448;0,534013347;0,346169214
2,2311;0,9565584;0,544084751;0,266357449
2,2644;0,9746688;0,554156156;-0,021194034
2,2977;0,993328;0,560336336;-1,039080455
2,331;1,012536;0,526917584;-3,340828872
2,3643;1,0320184;0,371039706;-6,381504405
2,3976;1,0429944;0,052645979;-7,788902794
2,4309;1,0350368;-0,252700701;-6,065885149
2,4642;1,0202192;-0,388435769;-3,032274294
2,4975;1,0062248;-0,41727661;-0,881557233
2,5308;0,991956;-0,410180848;0,084776134
2,5641;0,9787848;-0,394387054;0,34025016
2,5974;0,965888;-0,383400067;0,365453876
2,6307;0,9532656;-0,372184184;0,404977884
2,664;0,9409176;-0,356848182;0,444310955
2,6973;0,9293928;-0,338994328;0,395621959
2,7306;0,9186912;-0,329838505;0,331467047
2,7639;0,9074408;-0,321140474;0,372900428
2,7972;0,8970136;-0,30534668;0,425599106
2,8305;0,8871352;-0,290010677;0,409751315
2,8638;0,8778056;-0,277192526;0,368317934
2,8971;0,8687504;-0,266892226;0,366981374
2,9304;0,8599696;-0,254760761;0,432472847
2,9637;0,8517376;-0,239424758;0,522404286
2,997;0,84378;-0,219053053;0,57262078
3,0303;0,83692;-0,193187855;0,423689734
3,0636;0,8319808;-0,19341675;0,331848922
3,0969;0,8234744;-0,180598599;0,467987173
3,1302;0,8193584;-0,154046713;0,409369441
3,1635;0,8141448;-0,149926593;0,269985256
3,1968;0,8092056;-0,142144144;0,273422126
3,2301;0,8045408;-0,132301635;0,305308645
3,2634;0,8004248;-0,121772439;0,347696712
3,2967;0,7963088;-0,108267601;0,364499189
3,33;0,7932904;-0,096365032;0,354379516
3,3633;0,7899976;-0,086751418;0,394667273
3,3966;0,7872536;-0,070499833;0,442783457
3,4299;0,7853328;-0,054934935;0,431136286
3,4632;0,7836864;-0,041430097;0,406505382
3,4965;0,7825888;-0,028611945;0,397340395
3,5298;0,7817656;-0,015564898;0,404214135
3,5631;0,7814912;-0,001144478;0,400586328
3,5964;0,7817656;0,011673674;0,38244729
3,6297;0,7823144;0,023118452;0,391230403
3,663;0,7831376;0,038454454;0,385120411
3,6963;0,7850584;0,049441441;0,366026687
3,7296;0,7864304;0,060657324;0,399249767
3,7629;0,7889;0,076680013;0,413188185
3,7962;0,791644;0,089955956;0,381683541
3,8295;0,7949368;0,102087421;0,347696712
3,8628;0,798504;0,112158825;0,339486411
3,8961;0,8023456;0,123832499;0,359725758
3,9294;0,806736;0,13619286;0,379965106
3,9627;0,8114008;0,149239907;0,392376026
3,996;0,8166144;0,163431431;0,372709491
4,0293;0,8223768;0,175105105;0,330130486
4,0626;0,8284136;0,183574241;0,335285792
4,0959;0,8344504;0,195705706;0,383974788
4,1292;0,8413104;0,211270604;0,383211039
4,1625;0,8487192;0,222257591;0,357052637
4,1958;0,856128;0,233015682;0,376337298
4,2291;0,8640856;0,247207207;0,395240085
4,2624;0,872592;0,261398732;0,360871382
4,2957;0,8816472;0,271927928;0,295952721
4,329;0,8907024;0,280625959;0,241917482
4,3623;0,9003064;0,289552886;0,174898511
4,3956;0,9104592;0,287721722;0,241535607
4,4289;0,9189656;0,299624291;0,461495307
4,4622;0,9299416;0,324116116;0,534624269
4,4955;0,9409176;0,340367701;0,465695926
4,5288;0,9527168;0,353872539;0,40803288
4,5621;0,964516;0,365317317;0,397531332
4,5954;0,976864;0,381111111;0,346932963
